LEAID,#schools,#students,district,state,Tier
4831760,9,5306.0,MOUNT PLEASANT ISD,TX,Tier 3
4831770,3,1478.0,MOUNT VERNON ISD,TX,Tier 1
4831860,2,524.0,MUENSTER ISD,TX,Tier 1
4831890,4,1337.0,MULESHOE ISD,TX,Tier 1
4831920,5,217.0,MULLIN ISD,TX,Tier 1
4831950,2,615.0,MUMFORD ISD,TX,Tier 1
4831970,2,396.0,MUNDAY CISD,TX,Tier 1
4832010,1,168.0,MURCHISON ISD,TX,Tier 1
4832090,11,5940.0,NACOGDOCHES ISD,TX,Tier 3
4832130,4,1024.0,NATALIA ISD,TX,Tier 1
4832160,4,1849.0,NAVARRO ISD,TX,Tier 1
4832190,6,2847.0,NAVASOTA ISD,TX,Tier 2
4832220,1,250.0,NAZARETH ISD,TX,Tier 1
4832250,2,339.0,NECHES ISD,TX,Tier 1
4832280,9,5022.0,NEDERLAND ISD,TX,Tier 3
4832310,5,3306.0,NEEDVILLE ISD,TX,Tier 2
4832340,4,1174.0,NEW BOSTON ISD,TX,Tier 1
4832370,16,9282.0,NEW BRAUNFELS ISD,TX,Tier 3
4832400,21,16274.0,NEW CANEY ISD,TX,Tier 4
4832430,5,754.0,NEW DEAL ISD,TX,Tier 1
4832460,3,1175.0,NEW DIANA ISD,TX,Tier 1
4832490,1,575.0,NEW HOME ISD,TX,Tier 1
4832610,1,529.0,NEW SUMMERFIELD ISD,TX,Tier 1
4832640,4,1038.0,NEW WAVERLY ISD,TX,Tier 1
4832700,1,210.0,NEWCASTLE ISD,TX,Tier 1
4832730,3,969.0,NEWTON ISD,TX,Tier 1
4832740,5,1015.0,NIXON-SMILEY CISD,TX,Tier 1
4832790,3,805.0,NOCONA ISD,TX,Tier 1
4832880,2,144.0,NORDHEIM ISD,TX,Tier 1
4832910,3,595.0,NORMANGEE ISD,TX,Tier 1
4832940,75,60483.0,NORTH EAST ISD,TX,Tier 4
4832970,2,555.0,NORTH HOPKINS ISD,TX,Tier 1
4833010,6,2361.0,NORTH LAMAR ISD,TX,Tier 2
4833030,1,300.0,NORTH ZULCH ISD,TX,Tier 1
4833090,1,238.0,NORTHSIDE ISD,TX,Tier 1
4833120,130,103151.0,NORTHSIDE ISD,TX,Tier 4
4833180,34,25383.0,NORTHWEST ISD,TX,Tier 4
4833240,2,260.0,NUECES CANYON CISD,TX,Tier 1
4833270,1,141.0,NURSERY ISD,TX,Tier 1
4833340,2,192.0,OAKWOOD ISD,TX,Tier 1
4833360,4,846.0,ODEM-EDROY ISD,TX,Tier 1
4833390,1,298.0,O'DONNELL ISD,TX,Tier 1
4833420,1,185.0,OGLESBY ISD,TX,Tier 1
4833570,4,142.0,OLFEN ISD,TX,Tier 1
4833630,3,707.0,OLNEY ISD,TX,Tier 1
4833660,3,596.0,OLTON ISD,TX,Tier 1
4833690,2,1180.0,ONALASKA ISD,TX,Tier 1
4833720,4,1714.0,ORANGE GROVE ISD,TX,Tier 1
4833780,3,1791.0,ORANGEFIELD ISD,TX,Tier 1
4833840,3,928.0,ORE CITY ISD,TX,Tier 1
4833870,2,477.0,OVERTON ISD,TX,Tier 1
4833900,1,183.0,PADUCAH ISD,TX,Tier 1
4833960,1,91.0,PAINT CREEK ISD,TX,Tier 1
4833980,6,237.0,PAINT ROCK ISD,TX,Tier 1
4834020,4,1316.0,PALACIOS ISD,TX,Tier 1
4834050,6,3400.0,PALESTINE ISD,TX,Tier 2
4834110,3,1246.0,PALMER ISD,TX,Tier 1
4834140,1,84.0,PALO PINTO ISD,TX,Tier 1
4834170,6,3506.0,PAMPA ISD,TX,Tier 2
4834230,3,669.0,PANHANDLE ISD,TX,Tier 1
4834260,4,1216.0,PARADISE ISD,TX,Tier 1
4834290,8,3857.0,PARIS ISD,TX,Tier 2
4834320,67,50614.0,PASADENA ISD,TX,Tier 4
4834380,1,90.0,PATTON SPRINGS ISD,TX,Tier 1
4834410,1,315.0,PAWNEE ISD,TX,Tier 1
4834440,25,21067.0,PEARLAND ISD,TX,Tier 4
4834470,5,2025.0,PEARSALL ISD,TX,Tier 2
4834500,3,1382.0,PEASTER ISD,TX,Tier 1
4834550,5,2697.0,PECOS-BARSTOW-TOYAH ISD,TX,Tier 2
4834560,2,211.0,PENELOPE ISD,TX,Tier 1
4834630,2,316.0,PERRIN-WHITT CISD,TX,Tier 1
4834650,6,2133.0,PERRYTON ISD,TX,Tier 2
4834680,3,291.0,PETERSBURG ISD,TX,Tier 1
4834710,2,446.0,PETROLIA CISD,TX,Tier 1
4834770,2,374.0,PETTUS ISD,TX,Tier 1
4834800,3,861.0,PEWITT CISD,TX,Tier 1
4834830,33,25436.0,PFLUGERVILLE ISD,TX,Tier 4
4834860,46,31234.0,PHARR-SAN JUAN-ALAMO ISD,TX,Tier 4
4834920,5,1362.0,PILOT POINT ISD,TX,Tier 1
4834980,7,4545.0,PINE TREE ISD,TX,Tier 3
4835010,5,2347.0,PITTSBURG ISD,TX,Tier 2
4835040,3,431.0,PLAINS ISD,TX,Tier 1
4835070,10,4843.0,PLAINVIEW ISD,TX,Tier 3
4835100,85,50154.0,PLANO ISD,TX,Tier 4
4835130,4,2233.0,PLEASANT GROVE ISD,TX,Tier 2
4835190,6,3437.0,PLEASANTON ISD,TX,Tier 2
4835250,5,2072.0,POINT ISABEL ISD,TX,Tier 2
4835310,4,1585.0,PONDER ISD,TX,Tier 1
4835340,3,557.0,POOLVILLE ISD,TX,Tier 1
4835370,4,503.0,PORT ARANSAS ISD,TX,Tier 1
4835400,15,7957.0,PORT ARTHUR ISD,TX,Tier 3
4835430,16,4984.0,PORT NECHES-GROVES ISD,TX,Tier 3
4835490,4,797.0,POST ISD,TX,Tier 1
4835520,5,1603.0,POTEET ISD,TX,Tier 1
4835550,5,846.0,POTH ISD,TX,Tier 1
4835560,3,886.0,HIGHLAND PARK ISD,TX,Tier 1
4835570,3,1448.0,BUSHLAND ISD,TX,Tier 1
4835580,3,1403.0,POTTSBORO ISD,TX,Tier 1
4835700,1,221.0,PRAIRIE LEA ISD,TX,Tier 1
4835730,2,152.0,PRAIRIE VALLEY ISD,TX,Tier 1
